"1","01-01","Mieszka, Mieczysława, Marii",\N
"2","01-02","Izydora, Bazylego, Grzegorza",\N
"3","01-03","Arlety, Genowefy, Danuty",\N
"4","01-04","Tytusa, Anieli, Eugeniusza",\N
"5","01-05","Hanny, Szymona, Edwarda",\N
"6","01-06","Kacpra, Melchiora, Baltazara",\N
"7","01-07","Juliana, Lucjana, Rajmunda",\N
"8","01-08","Seweryna, Mścisława, Juliusza",\N
"9","01-09","Marceliny, Marianny, Juliana",\N
"10","01-10","Wilhelma, Dobrosława, Danuty",\N
"11","01-11","Honoraty, Teodozjusza, Matyldy",\N
"12","01-12","Grety, Arkadiusza, Rajmunda",\N
"13","01-13","Bogumiły, Weroniki, Hilarego",\N
"14","01-14","Feliksa, Domosława, Niny",\N
"15","01-15","Pawła, Arnolda, Izydora",\N
"16","01-16","Marcelego, Włodzimierza, Waldemara",\N
"17","01-17","Antoniego, Rościsława, Jana",\N
"18","01-18","Piotra, Małgorzaty",\N
"19","01-19","Henryka, Mariusza, Marty",\N
"20","01-20","Fabiana, Sebastiana",\N
"21","01-21","Agnieszki, Jarosława",\N
"22","01-22","Anastazego, Wincentego",\N
"23","01-23","Ildefonsa, Rajmunda",\N
"24","01-24","Felicji, Franciszka, Rafała",\N
"25","01-25","Pawła, Miłosza, Elwiry",\N
"26","01-26","Tymoteusza, Michała, Tytusa",\N
"27","01-27","Przybysława, Anieli, Jerzego",\N
"28","01-28","Walerego, Radomira, Tomasza",\N
"29","01-29","Zdzisława, Franciszka, Józefa",\N
"30","01-30","Macieja, Martyny, Teofila",\N
"31","01-31","Marceli, Ludwiki, Jana",\N
"32","02-01","Brygidy, Ignacego, Seweryna",\N
"33","02-02","Marii, Miłosława",\N
"34","02-03","Błażeja, Oskara",\N
"35","02-04","Andrzeja, Weroniki, Joanny",\N
"36","02-05","Agaty, Adelajdy",\N
"37","02-06","Doroty, Bogdana, Pawła",\N
"38","02-07","Ryszarda, Teodora, Romana",\N
"39","02-08","Hieronima, Sebastiana, Ireny",\N
"40","02-09","Apolonii, Eryki, Cyryla",\N
"41","02-10","Elwiry, Jacka, Scholastyki",\N
"42","02-11","Lucjana, Olgierda",\N
"43","02-12","Eulalii, Radosława, Modesta",\N
"44","02-13","Grzegorza, Katarzyny",\N
"45","02-14","Cyryla, Metodego, Walentego",\N
"46","02-15","Jowity, Faustyna, Zygfryda",\N
"47","02-16","Danuty, Julianny, Daniela",\N
"48","02-17","Aleksego, Zbigniewa, Łukasza",\N
"49","02-18","Szymona, Konstancji, Flawiana",\N
"50","02-19","Arnolda, Konrada, Marcelego",\N
"51","02-20","Leona, Ludomira, Zenobiusza",\N
"52","02-21","Eleonory, Fortunata, Roberta",\N
"53","02-22","Marty, Małgorzaty, Piotra",\N
"54","02-23","Romany, Damiana, Polikarpa",\N
"55","02-24","Macieja, Bogusza, Sergiusza",\N
"56","02-25","Wiktora, Cezarego",\N
"57","02-26","Mirosława, Aleksandra",\N
"58","02-27","Gabriela, Anastazji",\N
"59","02-28","Romana, Ludomira, Lecha",\N
"60","02-29","Lecha, Lutosława",\N
"61","03-01","Antoniny, Radosława, Dawida",\N
"62","03-02","Heleny, Halszki, Pawła",\N
"63","03-03","Maryny, Kunegundy, Tycjana",\N
"64","03-04","Lucji, Kazimierza, Eugeniusza",\N
"65","03-05","Adriana, Fryderyka, Teofila",\N
"66","03-06","Róży, Jordana, Agnieszki",\N
"67","03-07","Tomasza, Perpetuy, Felicyty",\N
"68","03-08","Beaty, Wincentego, Jana",\N
"69","03-09","Franciszki, Brunona",\N
"70","03-10","Cypriana, Marcela, Aleksandra",\N
"71","03-11","Ludosława, Konstantyna, Benedykta",\N
"72","03-12","Grzegorza, Justyna, Alojzego",\N
"73","03-13","Bożeny, Krystyny",\N
"74","03-14","Leona, Matyldy, Łazarza",\N
"75","03-16","Longina, Klemensa, Ludwiki",\N
"76","03-16","Izabeli, Oktawii, Hilarego",\N
"77","03-17","Patryka, Zbigniewa, Gertrudy",\N
"78","03-18","Cyryla, Edwarda, Boguchwały",\N
"79","03-19","Józefa, Bogdana",\N
"80","03-20","Klaudii, Eufemii, Maurycego",\N
"81","03-21","Lubomira, Benedykta",\N
"82","03-22","Katarzyny, Bogusława",\N
"83","03-23","Pelagii, Oktawiana, Feliksa",\N
"84","03-24","Marka, Gabriela, Katarzyny",\N
"85","03-25","Marioli, Wieńczysława, Ireneusza",\N
"86","03-26","Larysy, Emmanuela, Teodora",\N
"87","03-27","Lidii, Ernesta",\N
"88","03-28","Anieli, Sykstusa, Jana",\N
"89","03-29","Wiktoryna, Helmuta, Eustachego",\N
"90","03-30","Anieli, Kwiryna, Leonarda",\N
"91","03-31","Beniamina, Dobromierza, Leonarda",\N
"92","04-01","Teodory, Grażyny, Ireny",\N
"93","04-02","Władysława, Franciszka, Teodozji",\N
"94","04-03","Ryszarda, Pankracego, Ingi",\N
"95","04-04","Izydora, Wacława",\N
"96","04-05","Ireny, Wincentego",\N
"97","04-06","Izoldy, Celestyna, Wilhelma",\N
"98","04-07","Rufina, Celestyna, Jana",\N
"99","04-08","Cezaryny, Dionizego, Julii",\N
"100","04-09","Marii, Dymitra, Heliodora",\N
"101","04-10","Michała, Makarego",\N
"102","04-11","Filipa, Leona",\N
"103","04-12","Juliusza, Lubosława, Zenona",\N
"104","04-13","Przemysława, Hermenegildy, Marcina",\N
"105","04-14","Bereniki, Waleriana, Justyny",\N
"106","04-15","Ludwiny, Wacławy, Anastazji",\N
"107","04-16","Kseni, Cecylii, Bernadety",\N
"108","04-17","Rudolfa, Roberta",\N
"109","04-18","Bogusławy, Apoloniusza",\N
"110","04-19","Adolfa, Tymona, Leona",\N
"111","04-20","Czesława, Agnieszki, Mariana",\N
"112","04-21","Anzelma, Bartosza, Feliksa",\N
"113","04-22","Kai, Leonii, Sotera",\N
"114","04-23","Jerzego, Wojciecha",\N
"115","04-24","Horacego, Feliksa, Grzegorza",\N
"116","04-25","Marka, Jarosława, Wasyla",\N
"117","04-26","Marzeny, Klaudiusza, Marii",\N
"118","04-27","Zyty, Teofila, Felicji",\N
"119","04-28","Piotra, Walerii, Witalisa",\N
"120","04-29","Rity, Katarzyny, Bogusława",\N
"121","04-30","Mariana, Donaty, Tamary",\N
"122","05-01","Józefa, Jeremiasza, Filipa",\N
"123","05-02","Zygmunta, Atanazego, Anatola",\N
"124","05-03","Marii, Antoniny",\N
"125","05-04","Moniki, Floriana, Władysława",\N
"126","05-05","Ireny, Waldemara",\N
"127","05-06","Judyty, Jakuba, Filipa",\N
"128","05-07","Gizeli, Ludmiły, Benedykta",\N
"129","05-08","Stanisława, Lizy, Wiktora",\N
"130","05-09","Bożydara, Grzegorza, Karoliny",\N
"131","05-10","Izydora, Antoniny, Symeona",\N
"132","05-11","Igi, Miry, Władysławy",\N
"133","05-12","Pankracego, Dominika, Achillesa",\N
"134","05-13","Serwacego, Roberta, Glorii",\N
"135","05-14","Bonifacego, Dobiesława, Macieja",\N
"136","05-15","Zofii, Nadziei, Izydora",\N
"137","05-16","Andrzeja, Jędrzeja, Szymona",\N
"138","05-17","Paschalisa, Sławomira, Weroniki",\N
"139","05-18","Eryka, Feliksa, Jana",\N
"140","05-19","Iwa, Piotra, Celestyna",\N
"141","05-20","Bazylego, Bernardyna, Aleksandra",\N
"142","05-21","Wiktora, Kryspina, Tymoteusza",\N
"143","05-22","Heleny, Wiesławy, Ryty",\N
"144","05-23","Iwony, Dezyderego, Kryspina",\N
"145","05-24","Joanny, Zuzanny",\N
"146","05-25","Grzegorza, Urbana, Magdaleny",\N
"147","05-26","Filipa, Pauliny",\N
"148","05-27","Augustyna, Juliana, Magdaleny",\N
"149","05-28","Jaromira, Justa, Justyny",\N
"150","05-29","Magdaleny, Bogumiły, Urszuli",\N
"151","05-30","Ferdynanda, Karola, Jana",\N
"152","05-31","Anieli, Petroneli",\N
"153","06-01","Justyna, Anieli, Konrada",\N
"154","06-02","Marianny, Marcelina, Piotra",\N
"155","06-03","Leszka, Tamary, Karola",\N
"156","06-04","Kwiryny, Franciszka",\N
"157","06-05","Waltera, Bonifacego, Walerii",\N
"158","06-06","Norberta, Laurentego, Bogumiła",\N
"159","06-07","Roberta, Wiesława",\N
"160","06-08","Medarda, Maksyma, Seweryna",\N
"161","06-09","Pelagii, Dominika, Efrema",\N
"162","06-10","Bogumiła, Małgorzaty, Diany",\N
"163","06-11","Barnaby, Radomiła, Feliksa",\N
"164","06-12","Janiny, Onufrego, Leona",\N
"165","06-13","Lucjana, Antoniego",\N
"166","06-14","Bazylego, Elwiry, Michała",\N
"167","06-15","Wita, Jolanty",\N
"168","06-16","Aliny, Benona, Anety",\N
"169","06-17","Laury, Marcjana, Alberta",\N
"170","06-18","Marka, Elżbiety",\N
"171","06-19","Gerwazego, Protazego",\N
"172","06-20","Diny, Bogny, Florentyny",\N
"173","06-21","Alicji, Alojzego",\N
"174","06-22","Pauliny, Tomasza, Jana",\N
"175","06-23","Wandy, Zenona",\N
"176","06-24","Jana, Danuty",\N
"177","06-25","Lucji, Wilhelma, Doroty",\N
"178","06-26","Jana, Pawła",\N
"179","06-27","Maryli, Władysława, Cyryla",\N
"180","06-28","Leona, Ireneusza",\N
"181","06-29","Piotra, Pawła",\N
"182","06-30","Emilii, Lucyny",\N
"183","07-01","Haliny, Mariana, Marcina",\N
"184","07-02","Jagody, Urbana, Marii",\N
"185","07-03","Jacka, Anatola, Tomasza",\N
"186","07-04","Odona, Malwiny, Elżbiety",\N
"187","07-05","Marii, Antoniego",\N
"188","07-06","Gotarda, Dominiki, Lucji",\N
"189","07-07","Cyryla, Estery, Metodego",\N
"190","07-08","Edgara, Elżbiety, Eugeniusza",\N
"191","07-09","Lukrecji, Weroniki, Zenona",\N
"192","07-10","Sylwany, Witalisa, Antoniego",\N
"193","07-11","Olgi, Kaliny, Benedykta",\N
"194","07-12","Jana, Brunona, Bonifacego",\N
"195","07-13","Henryka, Kingi, Andrzeja",\N
"196","07-14","Ulryka, Bonawentury, Kamila",\N
"197","07-15","Henryka, Włodzimierza, Dawida",\N
"198","07-16","Mariki, Benity, Eustachego",\N
"199","07-17","Anety, Bogdana, Jadwigi",\N
"200","07-18","Erwina, Kamila, Szymona",\N
"201","07-19","Wincentego, Wodzisława, Marcina",\N
"202","07-20","Czesława, Hieronima, Małgorzaty",\N
"203","07-21","Daniela, Diany, Wawrzyńca",\N
"204","07-22","Marii, Magdaleny",\N
"205","07-23","Stwosza, Bogny, Brygidy",\N
"206","07-24","Kingi, Krystyny",\N
"207","07-25","Walentyny, Krzysztofa, Jakuba",\N
"208","07-26","Anny, Mirosławy, Grażyny",\N
"209","07-27","Lilii, Julii, Natalii",\N
"210","07-28","Aidy, Marceli, Wiktora",\N
"211","07-29","Olafa, Marty, Ludmiły",\N
"212","07-30","Julity, Piotra, Aldony",\N
"213","07-31","Ignacego, Lubomira, Heleny",\N
"214","08-01","Nadii, Justyna, Juliana",\N
"215","08-02","Kariny, Gustawa, Euzebiusza",\N
"216","08-03","Lidii, Augusta, Nikodema",\N
"217","08-04","Dominika, Protazego, Jana",\N
"218","08-05","Oswalda, Marii, Mariana",\N
"219","08-06","Sławy, Jakuba, Oktawiana",\N
"220","08-07","Kajetana, Doroty, Sykstusa",\N
"221","08-08","Cypriana, Emiliana, Dominika",\N
"222","08-09","Romana, Ryszarda, Edyty",\N
"223","08-10","Borysa, Filomeny, Wawrzyńca",\N
"224","08-11","Klary, Zuzanny, Lecha",\N
"225","08-12","Innocentego, Lecha, Euzebii",\N
"226","08-13","Diany, Hipolita",\N
"227","08-14","Alfreda, Euzebiusza, Maksymiliana",\N
"228","08-15","Napoleona, Stelli",\N
"229","08-16","Rocha, Stefana, Joachima",\N
"230","08-17","Mirona, Jacka",\N
"231","08-18","Ilony, Bronisława, Heleny",\N
"232","08-19","Bolesława, Juliana",\N
"233","08-20","Bernarda, Samuela, Sobiesława",\N
"234","08-21","Joanny, Kazimiery, Piusa",\N
"235","08-22","Cezarego, Tymoteusza",\N
"236","08-23","Apolinarego, Filipa",\N
"237","08-24","Jerzego, Bartosza, Haliny",\N
"238","08-25","Luizy, Ludwika, Józefa",\N
"239","08-26","Marii, Aleksandra",\N
"240","08-27","Cezarego, Józefa, Moniki",\N
"241","08-28","Patrycji, Wyszomira, Augustyna",\N
"242","08-29","Beaty, Jana, Sabiny, Racibora",\N
"243","08-30","Róży, Szczęsnego, Feliksa",\N
"244","08-31","Bogdana, Ramony, Rajmunda",\N
"245","09-01","Idziego, Bronisława",\N
"246","09-02","Juliana, Stefana, Wilhelma",\N
"247","09-03","Grzegorza, Izabeli, Szymona",\N
"248","09-04","Idy, Julianny, Rozalii, Róży",\N
"249","09-05","Doroty, Teodora, Wawrzyńca",\N
"250","09-06","Beaty, Eugeniusza",\N
"251","09-07","Domosławy, Melchiora, Reginy",\N
"252","09-08","Marii, Adrianny, Serafiny",\N
"253","09-09","¦cibora, Sergiusza, Piotra",\N
"254","09-10","Łukasza, Aldony, Mścisława",\N
"255","09-11","Jacka, Prota, Dagny, Hiacynta",\N
"256","09-12","Gwidona, Radzimira, Marii",\N
"257","09-13","Eugenii, Aureliusza, Jana",\N
"258","09-14","Roksany, Bernarda, Cypriana",\N
"259","09-15","Albina, Nikodema, Marii",\N
"260","09-16","Edyty, Korneliusza, Cypriana",\N
"261","09-17","Franciszka, Roberta, Justyna",\N
"262","09-18","Irmy, Stanisława, Ireny",\N
"263","09-19","Januarego, Konstancji, Teodora",\N
"264","09-20","Filipiny, Eustachego, Euzebii",\N
"265","09-21","Jonasza, Mateusza, Hipolita",\N
"266","09-22","Tomasza, Maurycego, Joachima",\N
"267","09-23","Tekli, Bogusława, Linusa",\N
"268","09-24","Gerarda, Ruperta, Tomiry",\N
"269","09-25","Aurelii, Władysława, Kleofasa",\N
"270","09-26","Wawrzyńca, Kosmy, Damiana",\N
"271","09-27","Wincentego, Mirabeli, Justyny",\N
"272","09-28","Wacława, Tymona, Marka",\N
"273","09-29","Michała, Gabriela, Rafała",\N
"274","09-30","Wery, Honoriusza, Hieronima",\N
"275","10-01","Danuty, Remigiusza, Teresy",\N
"276","10-02","Teofila, Dionizego, Sławomira",\N
"277","10-03","Teresy, Heliodora, Jana",\N
"278","10-04","Rozalii, Edwina, Franciszka",\N
"279","10-05","Placyda, Apolinarego",\N
"280","10-06","Artura, Brunona",\N
"281","10-07","Marii, Marka, Mirelli",\N
"282","10-08","Pelagii, Brygidy, Walerii",\N
"283","10-09","Arnolda, Dionizego, Wincentego",\N
"284","10-10","Pauliny, Danieli, Leona",\N
"285","10-11","Aldony, Aleksandra, Dobromiry",\N
"286","10-12","Eustachego, Maksymiliana, Edwina",\N
"287","10-13","Geralda, Edwarda, Honorata",\N
"288","10-14","Liwii, Kaliksta, Bernarda",\N
"289","10-15","Jadwigi, Teresy, Florentyny",\N
"290","10-16","Gawła, Ambrożego",\N
"291","10-17","Wiktora, Marity, Ignacego",\N
"292","10-18","Juliana, Łukasza",\N
"293","10-19","Ziemowita, Jana, Pawła",\N
"294","10-20","Ireny, Kleopatry, Jana",\N
"295","10-21","Urszuli, Hilarego, Jakuba",\N
"296","10-22","Halki, Filipa, Salomei",\N
"297","10-23","Marleny, Seweryna, Igi",\N
"298","10-24","Rafała, Marcina, Antoniego",\N
"299","10-25","Darii, Wilhelminy, Bonifacego",\N
"300","10-26","Lucjana, Ewarysta, Damiana",\N
"301","10-27","Iwony, Sabiny",\N
"302","10-28","Szymona, Tadeusza",\N
"303","10-29","Euzebii, Wioletty, Felicjana",\N
"304","10-30","Zenobii, Przemysława, Edmunda",\N
"305","10-31","Urbana, Saturnina, Krzysztofa",\N
"306","11-01","Seweryna, Wiktoryny",\N
"307","11-02","Bohdany, Bożydara",\N
"308","11-03","Sylwii, Marcina, Huberta",\N
"309","11-04","Karola, Olgierda",\N
"310","11-05","Elżbiety, Sławomira, Dominika",\N
"311","11-06","Feliksa, Leonarda, Ziemowita",\N
"312","11-07","Antoniego, Żytomira, Ernesta",\N
"313","11-08","Seweryna, Bogdana, Klaudiusza",\N
"314","11-09","Aleksandra, Ludwika, Teodora",\N
"315","11-10","Leny, Ludomira, Leona",\N
"316","11-11","Marcina, Bartłomieja, Teodora",\N
"317","11-12","Renaty, Witolda, Jozafata",\N
"318","11-13","Mateusza, Izaaka, Stanisława",\N
"319","11-14","Rogera, Serafina, Wawrzyńca",\N
"320","11-15","Alberta, Leopolda",\N
"321","11-16","Gertrudy, Edmunda, Marii",\N
"322","11-17","Salomei, Grzegorza, Elżbiety",\N
"323","11-18","Romana, Klaudyny, Karoliny",\N
"324","11-19","Seweryny, Maksyma, Salomei",\N
"325","11-20","Anatola, Sędzimira, Rafała",\N
"326","11-21","Alberta, Janusza, Konrada",\N
"327","11-22","Cecylii, Wszemiły, Stefana",\N
"328","11-23","Adeli, Klemensa, Felicyty",\N
"329","11-24","Flory, Emmy, Chryzogona",\N
"330","11-25","Erazma, Katarzyny",\N
"331","11-26","Delfiny, Sylwestra, Konrada",\N
"332","11-27","Waleriana, Wirgiliusza, Maksyma",\N
"333","11-28","Lesława, Zdzisława, Stefana",\N
"334","11-29","Błażeja, Saturnina",\N
"335","11-30","Andrzeja, Maury, Konstantego",\N
"336","12-01","Natalii, Eligiusza, Edmunda",\N
"337","12-02","Balbiny, Bibianny, Pauliny",\N
"338","12-03","Franciszka, Ksawerego, Kasjana",\N
"339","12-04","Barbary, Krystiana, Jana",\N
"340","12-05","Sabiny, Krystyny, Edyty",\N
"341","12-06","Mikołaja, Jaremy, Emiliana",\N
"342","12-07","Marcina, Ambrożego, Teodora",\N
"343","12-08","Marii, Światozara, Makarego",\N
"344","12-09","Wiesława Leokadii Joanny",\N
"345","12-10","Julii, Danieli, Bogdana",\N
"346","12-11","Damazego, Waldemara, Daniela",\N
"347","12-12","Dagmary, Aleksandra, Ady",\N
"348","12-13","Lucji, Otylii",\N
"349","12-14","Alfreda, Izydora, Jana",\N
"350","12-15","Niny, Celiny, Waleriana",\N
"351","12-16","Albiny, Zdzisławy, Alicji",\N
"352","12-17","Olimpii, Łazarza, Floriana",\N
"353","12-18","Gracjana, Bogusława, Laurencji",\N
"354","12-19","Gabrieli, Dariusza, Eleonory",\N
"355","12-20","Bogumiły, Dominika",\N
"356","12-21","Tomisława, Seweryna, Piotra",\N
"357","12-22","Zenona, Honoraty, Franciszki",\N
"358","12-23","Wiktorii, Sławomiry, Jana",\N
"359","12-24","Adama, Ewy, Eweliny",\N
"360","12-25","Anastazji, Eugenii",\N
"361","12-26","Dionizego, Szczepana",\N
"362","12-27","Jana, Żanety, Maksyma",\N
"363","12-28","Teofilii, Godzisława, Cezarego",\N
"364","12-29","Dawida, Tomasza, Dominika",\N
"365","12-30","Rainera, Eugeniusza, Irmy",\N
"366","12-31","Sylwestra, Melanii, Mariusza",\N
